School ID,School Name,School Metro Type,School Percentage Free Lunch,School State,School Zip,School City,School County,School District
6bf6cd4f093b626cc0e332cc1fee05b9,Butler Middle School,suburban,26.0,Utah,84121,Cottonwd Hgts,Salt Lake,Canyons School District
6eb610a5a8640f9e6d53ebe069787499,Jean Massieu School of the Deaf USDB,unknown,29.0,Utah,84106,Salt Lake City,Salt Lake,Utah Department Of Education
79f1d891329186d988cfd7df06746aa4,Jordan High School,suburban,36.0,Utah,84070,Sandy,Salt Lake,Canyons School District
a0f96a034959cb0073ebfb513e3ed6d2,Rosamond Elementary School,suburban,25.0,Utah,84065,Riverton,Salt Lake,Jordan School District
b0e22b7d54c1ccaf55e2e6903623a9e8,Indian Hills Middle School,suburban,19.0,Utah,84070,Sandy,Salt Lake,Canyons School District
c32ffbe62866a754d21e3b0ee20cd2c7,Bell View Elementary School,suburban,55.0,Utah,84094,Sandy,Salt Lake,Canyons School District
cb47506fcbb22bd8d46c74cf80934b53,North Star Elementary School,urban,83.0,Utah,84116,Salt Lake City,Salt Lake,Salt Lake City School District
e74a3e36a3ba6738f1ef8fd4a5909dd2,Hillsdale Elementary School,suburban,74.0,Utah,84119,W Valley City,Salt Lake,Granite School District
14a642a7d5e2528f0f00888e03981181,North Ogden Elementary School,suburban,45.0,Utah,84414,Ogden,Weber,Weber School District
9f5065b550df9db3c1db517dabfbaee5,North Elementary School,town,59.0,Utah,84720,Cedar City,Iron,Iron Co School District
21732e18374c452f163298db4a84ac40,Joel P Jensen Middle School,suburban,58.0,Utah,84088,West Jordan,Salt Lake,Jordan School District
2915a10602bebea5add1679675ecd8cb,Skyline High School,suburban,51.0,Utah,84109,Salt Lake City,Salt Lake,Granite School District
b507eaa94e6263c5a10f4ffdf252f6f7,Crescent Elementary School,suburban,30.0,Utah,84070,Sandy,Salt Lake,Canyons School District
3cf405964ff817864101aac25df262a1,Alta High School,suburban,32.0,Utah,84094,Sandy,Salt Lake,Canyons School District
3f218abbb2cc27b9c4638bfb19f512b1,Oakdale Elementary School,suburban,26.0,Utah,84093,Sandy,Salt Lake,Canyons School District
4d4880fbea8fd144fa61ae8d81726bb9,Indian Hills Elementary School,urban,19.0,Utah,84108,Salt Lake City,Salt Lake,Salt Lake City School District
5751d3932b700834eaa7f53b96715b43,Green Acres Elementary School,suburban,41.0,Utah,84414,Ogden,Weber,Weber School District
6722ad734103d1b6d69636fc4e231b20,Rivers Edge School,suburban,67.0,Utah,84095,South Jordan,Salt Lake,Jordan School District
7909543061efbcb7477fa2a052bc77fa,Edgemont Elementary School,suburban,43.0,Utah,84094,Sandy,Salt Lake,Canyons School District
82659fba3111ea16263814d7eb93b2a1,Bryant Middle School,urban,86.0,Utah,84102,Salt Lake City,Salt Lake,Salt Lake City School District
eb6fd6631f8159ef30317e95fddf52e6,Mt Jordan Middle School,suburban,53.0,Utah,84070,Sandy,Salt Lake,Canyons School District
b0f8ef102334e6bbebdcfc9d752b3d8c,Summit Elementary School,suburban,47.0,Utah,84335,Smithfield,Cache,Cache Co School District
c1a4a5cb2a22409675e3e4b673a17be1,Riverside Elementary School,suburban,54.0,Utah,84088,West Jordan,Salt Lake,Jordan School District
c95a32133c97b2b1df88e1d358e311a0,Union Middle School,suburban,49.0,Utah,84070,Sandy,Salt Lake,Canyons School District
d495c5260ce6f1e590e17b5a6f81bcad,Silver Mesa Elementary School,suburban,29.0,Utah,84093,Sandy,Salt Lake,Canyons School District
d508c0da6eedae5e25f8f6049a4c275a,East High School,urban,61.0,Utah,84102,Salt Lake City,Salt Lake,Salt Lake City School District
db4f52274c9d2983711d8a0ee9a31dcc,Glendale Middle School,urban,94.0,Utah,84104,Salt Lake City,Salt Lake,Salt Lake City School District
d92c836546667288b2d287c62758d383,Philo T Farnsworth Elementary School,suburban,66.0,Utah,84120,W Valley City,Salt Lake,Granite School District
efb580f23177d490f45f0689c2d88b05,Midvalley Elementary School,suburban,59.0,Utah,84047,Midvale,Salt Lake,Canyons School District
f56ea441da3bf934953221a3c68aacaa,Sunrise Elementary School,suburban,17.0,Utah,84092,Sandy,Salt Lake,Canyons School District
2a971519fcd428ffc6f247456824f542,Ellison Park Elementary School,suburban,21.0,Utah,84041,Layton,Davis,Davis School District
973260aeefac130efc735913f7904dea,Mountain View Elementary School,urban,91.0,Utah,84104,Salt Lake City,Salt Lake,Salt Lake City School District
e6665a45a285651a1ae94f69aaa85234,Draper Elementary School,suburban,15.0,Utah,84020,Draper,Salt Lake,Canyons School District
23d09acfb5fd28e2b1f15680af7ebf9c,Provo Peaks Elementary School,urban,77.0,Utah,84606,Provo,Utah,Provo City School District
ff6ff0d7e751990fdd11bff40ea1fff4,Liberty Elementary School,urban,90.0,Utah,84111,Salt Lake City,Salt Lake,Salt Lake City School District
5a1c41721f4462d217291db4ccfa86cd,South Summit Middle School,town,30.0,Utah,84036,Kamas,Summit,South Summit School District
d1f1200a5e4c9085955dd38127e63c2d,Naples Elementary School,town,46.0,Utah,84078,Vernal,Uintah,Uintah School District
54c9b29cbc88c9153ae7759c45008341,Fairfield Junior High School,suburban,25.0,Utah,84037,Kaysville,Davis,Davis School District
06e0aa7ed708ede24962966d2cb7400a,Fairview Elementary School,rural,52.0,Utah,84629,Fairview,Sanpete,North Sanpete School District
183c0dc38056a0d83f3b4a42c46b3a98,Mt Pleasant Elementary School,rural,58.0,Utah,84647,Mt Pleasant,Sanpete,North Sanpete School District
216cf386b494bc45b4502f7588a6b495,Renaissance Academy,suburban,29.0,Utah,84043,Lehi,Utah,Utah Department Of Education
fc14b96e81701db0d493511bcc8f3d42,Spring Lake Elementary School,suburban,40.0,Utah,84651,Spring Lake,Utah,Nebo School District
210ef7da2f8995ac2d20ca4cfa26bc2b,Maria Montessori Academy,suburban,29.0,Utah,84414,Ogden,Weber,Utah Department Of Education
40aca242558222b4110348d20c92df64,South Jordan Middle School,suburban,18.0,Utah,84095,South Jordan,Salt Lake,Jordan School District
625e0a1004b8ab7d92227373246dbce9,Foothills Elementary School,suburban,12.0,Utah,84096,Riverton,Salt Lake,Jordan School District
cac93c5772ac165af4a63128d92bb25e,Monte Vista Elementary School,suburban,13.0,Utah,84095,South Jordan,Salt Lake,Jordan School District
1297d5df1201a9ee674036e9f4dbeb93,Bonneville Academy,unknown,,Utah,84074,Stansbury Park,Tooele,Utah Department Of Education
67f485ae92b7b1cc57534d7dfa127533,Hawthorn Academy - South Jordan,unknown,29.0,Utah,84095,South Jordan,Salt Lake,Utah Department Of Education
33a4f3bf38d3c5198916ae756572d324,Freedom Preparatory Provo Elementary Academy,urban,56.0,Utah,84604,Provo,Utah,Utah Department Of Education
99aad90a79c19cbf51b861acb6022664,Eastlake Elementary School,unknown,13.0,Utah,84009,South Jordan,Salt Lake,Jordan School District
40a3ccd29ddc99e1af982dfd5641247f,Barnett Elementary School,suburban,56.0,Utah,84651,Payson,Utah,Nebo School District
87ea8abee837eaa2548cc50de7683dcd,Kaysville Elementary School,suburban,16.0,Utah,84037,Kaysville,Davis,Davis School District
d60d596b0d4d45aaaf987cb0162b8176,Hawthorn Academy - West Jordan,suburban,29.0,Utah,84088,West Jordan,Salt Lake,Utah Department Of Education
a607d770db575af51e8c0b751e55d601,South Hills Middle School,suburban,20.0,Utah,84065,Riverton,Salt Lake,Jordan School District
3147607a065770e7a801d985bd7945a6,Redwood Elementary School,suburban,75.0,Utah,84119,W Valley City,Salt Lake,Granite School District
6bdbbf5032ab2285d2681ff95558ac7b,Pioneer Elementary School,rural,71.0,Utah,84119,W Valley City,Salt Lake,Granite School District
ffdf1f7b123408610b9adcf4b59f1e9b,Copper Hills High School,suburban,44.0,Utah,84081,West Jordan,Salt Lake,Jordan School District
8671f95fedfe7aed69d939def1fbbb89,Summit Academy Elementary- Independence Campus,suburban,29.0,Utah,84065,Bluffdale,Salt Lake,Utah Department Of Education
c2ba0f7f4b711fb1ae320e8dcf95ca4d,Early Light Academy,suburban,29.0,Utah,84009,South Jordan,Salt Lake,Utah Department Of Education
d9cf108a326ca754767c90ef668493b7,Bluffdale Elementary School,suburban,27.0,Utah,84065,Bluffdale,Salt Lake,Jordan School District
7fc679715699cd8833ac1f09f58c015f,Hillcrest High School,suburban,76.0,Utah,84047,Midvale,Salt Lake,Canyons School District
e57ba5fbf87ed12c4c452541103d6543,David Gourley Elementary School,suburban,79.0,Utah,84118,Kearns,Salt Lake,Granite School District
490e6a8851b9d96e37cbf9da4c3d53cc,North Star Academy,suburban,29.0,Utah,84065,Bluffdale,Salt Lake,Utah Department Of Education
09c254ee5ed9bebde62691eb154d59e5,West Jordan Middle School,suburban,56.0,Utah,84084,West Jordan,Salt Lake,Jordan School District
19a2b1bfeec25d740689a1c8d1385fda,Ascent Academy of Utah-W Jordan,suburban,29.0,Utah,84081,West Jordan,Salt Lake,Utah Department Of Education
2929801143d7d1cef11bd2caaac1a296,Overlake Elementary School,town,35.0,Utah,84074,Tooele,Tooele,Tooele Co School District
3ceb57243026118fa644f7e336d2bf8f,Anna Smith Elementary School,rural,95.0,Utah,84083,Wendover,Tooele,Tooele Co School District
3fa3535c83f8037f2cec25ad9389184c,Blackridge Elementary School,suburban,28.0,Utah,84096,Herriman,Salt Lake,Jordan School District
3fda7bae98b573eab88e1fee66b395aa,Stansbury Park Elementary School,town,32.0,Utah,84074,Stansbury Park,Tooele,Tooele Co School District
5aa86a53f658c198fd4e42c541411c76,Oquirrh Hills Middle School,suburban,23.0,Utah,84065,Riverton,Salt Lake,Jordan School District
63d3dbb16740ca0e882fe07d5b2b1872,Fox Hollow Elementary School,suburban,27.0,Utah,84081,West Jordan,Salt Lake,Jordan School District
b1eb8213a5bb119d1eb6d71bc6d5be7c,Northlake Elementary School,town,62.0,Utah,84074,Tooele,Tooele,Tooele Co School District
b7caf497aa9e84b0a30db8478136c3a8,Rose Springs Elementary School,unknown,24.0,Utah,84074,Stansbury Park,Tooele,Tooele Co School District
bd95c03d0ee9a644f36ef4eeee7260c7,West Jordan Elementary School,suburban,48.0,Utah,84084,West Jordan,Salt Lake,Jordan School District
8fd034a05fe499ec1e5ead1e33af3371,Southland Elementary School,suburban,17.0,Utah,84065,Riverton,Salt Lake,Jordan School District
44142b5fb34048c6afdd8c8fc752fb0d,Jordan Academy for Technology and Careers - South,unknown,28.0,Utah,84065,Riverton,Salt Lake,Jordan School District
afc945c558b45884ae160b9f63b4da09,Panorama Elementary School,urban,54.0,Utah,84790,Saint George,Washington,Washington Co School District
0b17eb949dbb1ea1f2c46cde23ae5706,James Madison Elementary School,urban,95.0,Utah,84401,Ogden,Weber,Ogden City School District
1585948f3025e91992eedccfa07e96d9,Valley View Elementary School,suburban,13.0,Utah,84010,Bountiful,Davis,Davis School District
15a8bb86af11718090c81b843110c821,Saratoga Shores Elementary School,suburban,17.0,Utah,84045,Saratoga Spgs,Utah,Alpine School District
18540d7b04b9c0faa639ecacb793c616,Valley View Elementary School,suburban,55.0,Utah,84067,Roy,Weber,Weber School District
371b5a83efe75862b269b8a7df1e5c7f,Freedom Elementary School,suburban,9.0,Utah,84003,Highland,Utah,Alpine School District
6d948bf08c3c19a65507189231841859,Utah School For the Deaf and Blind @ Mill Creek Elementary,unknown,29.0,Utah,84106,Salt Lake City,Salt Lake,Utah Department Of Education
5f0ac90b88ed336efea2ffabb6f0301b,West High School,urban,61.0,Utah,84103,Salt Lake City,Salt Lake,Salt Lake City School District
68b6948835a0a8d63dc2aaa5ffdb1836,Lehi High School,suburban,27.0,Utah,84043,Lehi,Utah,Alpine School District
794df238a5658b0d449f2d5eea1088f1,Ridgecrest Elementary School,suburban,34.0,Utah,84121,Cottonwd Hgts,Salt Lake,Canyons School District
8391b076d0d1baf2a1911ab8cce3f59f,Lakeside Elementary School,suburban,20.0,Utah,84015,West Point,Davis,Davis School District
8e02dc10dafaeb51451517217430a84a,Oak Hills Elementary School,suburban,15.0,Utah,84010,Bountiful,Davis,Davis School District
a82f4b95d9cecd77e9b7fd97b133c5d3,Mountain Shadows Elementary School,suburban,40.0,Utah,84081,West Jordan,Salt Lake,Jordan School District
c5464c43e1b08b6a52d64f0faef0ced9,Endeavour Elementary School,suburban,3.0,Utah,84037,Kaysville,Davis,Davis School District
ceafed3c4fb234afda0ed71f479fcc84,Thomas Edison Charter School-South,urban,36.0,Utah,84321,Nibley,Cache,Cache Co School District
de0b33aae04598f0129308527fd5fbf4,Woodruff Elementary School,urban,68.0,Utah,84321,Logan,Cache,Logan City School District
7c90025b0e30b7b696e7df39b23f2452,Welby Elementary School,suburban,17.0,Utah,84009,South Jordan,Salt Lake,Jordan School District
09fcfac9753384455f47284a1235aefa,Century Elementary School,rural,39.0,Utah,84301,Bear River Cy,Box Elder,Box Elder Co School District
10090d13cf596a7280b19ea748a7271d,Cedar Valley Elementary School,rural,36.0,Utah,84013,Cedar Valley,Utah,Alpine School District
1333a8944c7d72ff8d6681c726ae52aa,Elk Meadows Elementary School,suburban,26.0,Utah,84095,South Jordan,Salt Lake,Jordan School District
19f702e7ed4b500351266d5014de3202,Heritage Elementary School,urban,79.0,Utah,84404,Ogden,Weber,Ogden City School District
70c27cdfe8d219308613fb4e7389ba8e,Westridge Elementary School,urban,41.0,Utah,84604,Provo,Utah,Provo City School District
2deb0da43e5ad7092bc7f2769b402071,Pleasant Grove Spectrum Academy,unknown,29.0,Utah,84062,Pleasant Grv,Utah,Utah Department Of Education
30d18b47017db3db37adad1d18385959,Oakwood Elementary School,suburban,15.0,Utah,84121,Holladay,Salt Lake,Granite School District
3349736cc2f4ab9eae839af62fa1755f,Hooper Elementary School,unknown,25.0,Utah,84315,Hooper,Weber,Weber School District
7b33c495ab3ff33bf1eabb82382ba078,Canyon Grove Academy,suburban,49.0,Utah,84062,Pleasant Grv,Utah,Utah Department Of Education
a2ed9335503b979fb50fe33707e37e6a,South Kearns Elementary School,suburban,64.0,Utah,84118,Kearns,Salt Lake,Granite School District
9c361ef0339309de6da402704d91d268,Open Classroom Charter School,urban,31.0,Utah,84103,Salt Lake City,Salt Lake,Salt Lake City School District
ac92b3d655ad9ee1259dc0175dc1e674,Polaris High School,urban,53.0,Utah,84058,Orem,Utah,Alpine School District
b1dd1f65688a12a56921ddad2f66cdc3,Crestview Elementary School,suburban,53.0,Utah,84041,Layton,Davis,Davis School District
b47e97317fd858fef4d3977634d809a8,Jim Bridger Elementary School,suburban,49.0,Utah,84084,West Jordan,Salt Lake,Granite School District
c12e328ec5a44a7cdab2abd65cb69759,Clearfield High School,suburban,43.0,Utah,84015,Clearfield,Davis,Davis School District
c150f692997ee7d711646dff27fbfcaf,Hillcrest Elementary School,urban,46.0,Utah,84097,Orem,Utah,Alpine School District
e02114710e3743d1c98f01af2d3816f0,Cook Elementary School,suburban,22.0,Utah,84075,Syracuse,Davis,Davis School District
e5026205069741e9c434fa597926733c,Parkside Elementary School,suburban,29.0,Utah,84015,Clinton,Davis,Davis School District
f5042299474abb37da22f2cf3bcee9dd,Granite Park Junior High School,suburban,78.0,Utah,84115,Salt Lake City,Salt Lake,Granite School District
f91c6ed28c373deb702459cf0e03b9c1,Upland Terrace Elementary School,suburban,13.0,Utah,84109,Salt Lake City,Salt Lake,Granite School District
3291f560fba8d2f2d4908d16a3a6e786,Reagan Academy,suburban,41.0,Utah,84663,Springville,Utah,Nebo School District
4dbb90640b82721311ba3e506dcff5e2,Mt Nebo Junior High School,suburban,58.0,Utah,84651,Payson,Utah,Nebo School District
7d361889314a23d4aa61bfa1a6bab06c,Mt Ogden Junior High School,urban,66.0,Utah,84403,Ogden,Weber,Ogden City School District
d594213d9c00fe77aa4e43ba99035b14,Sunset Ridge Middle School,suburban,34.0,Utah,84081,West Jordan,Salt Lake,Jordan School District
00e118e435e20f6722f5b072d748dc89,American Fork High School,suburban,27.0,Utah,84003,American Fork,Utah,Alpine School District
4bf4b2d2601ca85ffde2f94ac8202ece,Taylorsville High School,suburban,51.0,Utah,84123,Taylorsville,Salt Lake,Granite School District
664b8c20cc315c663909667a402c441a,Corner Canyon High School,suburban,14.0,Utah,84020,Draper,Salt Lake,Canyons School District
43bbe648e73f79a7cf5e4cc70e60fded,Forbes Elementary School,suburban,44.0,Utah,84003,American Fork,Utah,Alpine School District
01453c166efae5b02107d6456af91c56,Snowville Elementary School,rural,68.0,Utah,84336,Snowville,Box Elder,Box Elder Co School District
023f1becba6de68d87dd599788d6428b,Hillcrest Elementary School,urban,81.0,Utah,84404,Ogden,Weber,Ogden City School District
0c8142895368ae2866dcdba0b34c6c35,Wasatch Elementary School,urban,59.0,Utah,84403,Ogden,Weber,Ogden City School District
0d33b9c722d9b15d6e15194e908e30f7,Burch Creek Elementary,unknown,38.0,Utah,84403,Ogden,Weber,Weber School District
d03749139d929c489acb90575c960398,Club Heights Elementary School,suburban,95.0,Utah,84405,Ogden,Weber,Weber School District
4786d461e48e3787a6206aed1addf7fc,Mound Fort Junior High School,urban,95.0,Utah,84404,Ogden,Weber,Ogden City School District
2760a545d3bafea3d2c84ee84c591c5f,Good Foundations Academy,suburban,29.0,Utah,84405,Riverdale,Weber,Utah Department Of Education
2841370e1d5b068bc6fca021118a2eaf,Fielding Elementary School,rural,49.0,Utah,84311,Fielding,Box Elder,Box Elder Co School District
2a4b2bb8ca90bce013da4337379d96de,Roy Elementary School,suburban,65.0,Utah,84067,Roy,Weber,Weber School District
b78eb5869a6c148e2e114219a263ae2e,Lomond View Elementary School,suburban,20.0,Utah,84414,Ogden,Weber,Weber School District
2e2d30bed0367fbe1460c013dc3a40c3,Box Elder High School,suburban,47.0,Utah,84302,Brigham City,Box Elder,Box Elder Co School District
d5d6d2fe309b7c3399c4660a635741f4,Fremont High School,urban,38.0,Utah,84404,Plain City,Weber,Weber School District
2f33cb059a34877c70759bacf7912712,Taylor Canyon Elementary School,urban,63.0,Utah,84401,Ogden,Weber,Ogden City School District
31a059699a56c4fec1d715fcb042a9c1,Promontory School,suburban,29.0,Utah,84302,Brigham City,Box Elder,Utah Department Of Education
38bc5155f42a4c73c65edba057eba327,Horace Mann Elementary School,urban,67.0,Utah,84404,Ogden,Weber,Ogden City School District
3ae6c99333953a993652083a36f7f391,Highland Junior High School,urban,80.0,Utah,84404,Ogden,Weber,Ogden City School District
3c32db1d823ab6f9d84114b8420ed6f4,Farr West Elementary School,urban,25.0,Utah,84404,Ogden,Weber,Weber School District
3dc6ed9440fff179f50fdbca5061b4e5,Weber High School,suburban,38.0,Utah,84414,Ogden,Weber,Weber School District
3e446457a502df5ba2d89d3442cb9027,Kanesville Elementary School,urban,24.0,Utah,84401,West Haven,Weber,Weber School District
3e96af4867ad1896630cd382a1f40a42,DaVinci Academy - Secondary,urban,29.0,Utah,84401,Ogden,Weber,Utah Department Of Education
cab7d59cfe541331f8ce68dfbf63d813,DaVinci Academy Elementary,urban,29.0,Utah,84401,Ogden,Weber,Utah Department Of Education
4999167a8521e720d82497046455308f,Alice C Harris Intermediate School,town,51.0,Utah,84337,Tremonton,Box Elder,Box Elder Co School District
4a8fb4a8e4f37e407755e3e523a239c8,Utah School For the Deaf & Blind - Ogden Campus,urban,29.0,Utah,84404,Ogden,Weber,Utah Department Of Education
4f6d67841fd606bdee0964e4378eef61,Garland Elementary School,town,51.0,Utah,84312,Garland,Box Elder,Box Elder Co School District
5395fb039254a9d2d65b93ff94bd2a3d,Windridge Elementary School,suburban,9.0,Utah,84037,Kaysville,Davis,Davis School District
82de012ba3ed715bb5b2b4cff08fbf13,GreenWood Charter School,unknown,29.0,Utah,84404,Harrisville,Weber,Utah Department Of Education
5854c4aa261e19b872ce8ddb0fd0a2cb,Roy High School,suburban,57.0,Utah,84067,Roy,Weber,Weber School District
58edd2afd19bfb985c0e7285b43a83e2,Ogden High School,urban,79.0,Utah,84403,Ogden,Weber,Ogden City School District
5e0a1806f24a8568871086624c2024ae,Mountain Crest High School,suburban,36.0,Utah,84319,Hyrum,Cache,Cache Co School District
5f801965486cc19dbdc6053a794d2d9c,Voyage Academy,suburban,29.0,Utah,84015,Clinton,Davis,Utah Department Of Education
c08504e7f99371a5e77fefe858582b7a,Mountain View Elementary School,suburban,20.0,Utah,84040,Layton,Davis,Davis School District
5ffa9a897075c94a38f17d8006f40888,Wasatch Elementary School,suburban,51.0,Utah,84015,Clearfield,Davis,Davis School District
60c8fb01ac66c435285c7a6f32811f7e,Roy Junior High School,suburban,52.0,Utah,84067,Roy,Weber,Weber School District
61a9604e991631e242c95466cb81cd21,Venture Academy,urban,29.0,Utah,84404,Slaterville,Weber,Utah Department Of Education
6424dfa51c5ff23c24054f3da86e26c7,Canyon View School,urban,76.0,Utah,84404,Ogden,Weber,Weber School District
65b494d1d9eaa745ef661fc5059f9524,Lincoln Elementary School,urban,80.0,Utah,84404,Ogden,Weber,Ogden City School District
676dbe19e0ae54ddb152f57e9f9f1b14,Odyssey Elementary School,urban,95.0,Utah,84401,Ogden,Weber,Ogden City School District
6f42b4e5dd99f760a17f6274d8bd7808,Shadow Valley Elementary School,urban,35.0,Utah,84403,Ogden,Weber,Ogden City School District
6cf5fc701c23af9b914734d5276434ba,Ogden Preparatory Academy - Junior High,urban,44.0,Utah,84404,Ogden,Weber,Utah Department Of Education
7178bc954ea3a842e8afa987e4619537,Polk Elementary School,urban,63.0,Utah,84401,Ogden,Weber,Ogden City School District
75ec1290375a1fe90281bac3a1a28acc,North Davis Junior High School,suburban,58.0,Utah,84015,Clearfield,Davis,Davis School District
7621cc07199db43f54843692c1e3932b,Rocky Mountain Junior High School,urban,26.0,Utah,84401,West Haven,Weber,Weber School District
76e07dfee5bf959f45db41c7f3423a2d,Corinne Early Learning Center,rural,35.0,Utah,84307,Corinne,Box Elder,Box Elder Co School District
e9bf5827c88b20548d946c53235cfb5e,Foothill Elementary School,suburban,41.0,Utah,84302,Brigham City,Box Elder,Box Elder Co School District
7ac7849bd06dc86733625252dcf18434,Thomas O Smith Elementary School,urban,95.0,Utah,84403,Ogden,Weber,Ogden City School District
ad3ddf37ee686bd813401efca912f0ec,North Park Elementary School,town,52.0,Utah,84337,Tremonton,Box Elder,Box Elder Co School District
7acf7c167217c22cbad37c2938b5eb63,West Weber Elementary School,urban,27.0,Utah,84404,Ogden,Weber,Weber School District
7c239ac3dfc6f3c6e0dedc41c10dafdd,Bonneville Elementary School,urban,86.0,Utah,84404,Ogden,Weber,Ogden City School District
914ab265a81ce4ce32a8c799ba2eb40d,North Park Elementary School,suburban,69.0,Utah,84067,Roy,Weber,Weber School District
86a5b7baa71a6801ca7750ed2ead520f,Bates Elementary School,suburban,20.0,Utah,84414,Ogden,Weber,Weber School District
8993b0d4ce70d53d15b0edc9743bae40,Bear River High School,town,47.0,Utah,84312,Garland,Box Elder,Box Elder Co School District
89d193c929c050a0617723f63cb824d7,Plain City Elementary School,urban,20.0,Utah,84404,Ogden,Weber,Weber School District
8cb29bf4fc3ffb06597273bbad59c012,Freedom Elementary School,unknown,35.0,Utah,84315,Hooper,Weber,Weber School District
8e412af63da0bab28c32381dbe069bc9,Mountain View Elementary School,suburban,58.0,Utah,84302,Brigham City,Box Elder,Box Elder Co School District
8f98db5df7ae63dda2a99f9274299784,Roosevelt Elementary School,suburban,60.0,Utah,84405,Ogden,Weber,Weber School District
94f3f6d779587482311ef82007fd88dc,Dale Young Community High School,suburban,70.0,Utah,84302,Brigham City,Box Elder,Box Elder Co School District
989ed0d9176f604ae93367fa03217667,Majestic Elementary School,suburban,32.0,Utah,84414,Ogden,Weber,Weber School District
9a160bd92a41179a39fea30715de6bcf,Snowcrest Junior High School,rural,16.0,Utah,84310,Eden,Weber,Weber School District
9ce6a3662e477ec0e187d82be114a693,Three Mile Creek Elementary School,suburban,23.0,Utah,84302,Perry,Box Elder,Box Elder Co School District
ab7c2b4c70258a1f64dc0e801b687b08,Utah Virtual Academy,suburban,29.0,Utah,84107,Salt Lake City,Salt Lake,Utah Department Of Education
ad5041fd99ea0188301e4a9d42f66394,Discovery Elementary School,suburban,50.0,Utah,84302,Brigham City,Box Elder,Box Elder Co School District
b06c0e6352e17970af0faec960051d33,Two Rivers High School,urban,55.0,Utah,84404,Ogden,Weber,Weber School District
b42290dd1b347f5593f6e6edff4de16d,Gramercy Elementary School,urban,95.0,Utah,84404,Ogden,Weber,Ogden City School District
bc03075e795e7a6f471b61a9d7647bf5,T H Bell Junior High School,suburban,57.0,Utah,84405,Ogden,Weber,Weber School District
bd066b7311e2b69c15f4cfc25d23ae33,Adele C Young Intermediate School,suburban,43.0,Utah,84302,Brigham City,Box Elder,Box Elder Co School District
c471cbd2d33cee5c1116e21a236bd32c,West Haven Elementary School,urban,37.0,Utah,84401,West Haven,Weber,Weber School District
c852df55288b15a88052258fc70905d9,McKinley Elementary School,town,55.0,Utah,84337,Tremonton,Box Elder,Box Elder Co School District
d4fb3883531175232dc8d028cfa2a57a,Lake View Elementary School,suburban,61.0,Utah,84302,Brigham City,Box Elder,Box Elder Co School District
d9d63ed9ef94f224202ebb4fe97b3bc6,North Ogden Junior High School,suburban,29.0,Utah,84414,Ogden,Weber,Weber School District
dcce9a8907311ff052a3848b2e5ea7f8,Sand Ridge Junior High School,suburban,48.0,Utah,84067,Roy,Weber,Weber School District
ec369adf663cc1afc47543af6aea8ff6,New Bridge School,rural,79.0,Utah,84401,Ogden,Weber,Ogden City School District
efeb83d26f4e9c3ba9f691c2758c69f5,West Point Elementary School,suburban,16.0,Utah,84015,West Point,Davis,Davis School District
f260545e388934acd1e2133d83f4f006,Athenian eAcademy-Tremonton,unknown,29.0,Utah,84337,Tremonton,Box Elder,Utah Department Of Education
f5cd00d117f5bbf8e8a5bd1ca7f26d12,Utah Military Academy,suburban,29.0,Utah,84405,Riverdale,Weber,Utah Department Of Education
01b1a10941d9630e0b7c759c6a67d764,Fiddlers Canyon Elementary School,town,53.0,Utah,84721,Cedar City,Iron,Iron Co School District
