loan_status,loan_status_numeric,loan_amnt,issue_d,term,int_rate,installment,total_pymnt,total_rec_prncp,total_rec_int,total_rec_late_fee,title,purpose,emp_title,emp_length,home_ownership,annual_inc,verification_status,acc_now_delinq,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,tot_coll_amt,tot_cur_bal,total_acc,total_rev_hi_lim,dti,grade,sub_grade
Fully Paid,6,7000,2017-01-01, 36 months,10.49,227.49,7537.6944473852,7000.0,537.69,0.0,Credit card refinancing,credit_card,Process Controls Engineer,10+ years,MORTGAGE,112000.0,Source Verified,0.0,0.0,1998-02-01,0.0,46.0,,13.0,0.0,22024,61.3,0.0,99663.0,38.0,35900.0,13.44,B,B2
Current,5,20400,2016-03-01, 60 months,9.16,425.06,14856.34,10759.49,4096.85,0.0,Debt consolidation,debt_consolidation,Linehaul driver,10+ years,MORTGAGE,59820.0,Verified,0.0,0.0,1986-03-01,1.0,60.0,,11.0,0.0,77855,78.0,0.0,122784.0,33.0,100000.0,21.4,B,B2
Current,5,10000,2018-02-01, 36 months,5.32,301.15,3624.14,3158.07,466.07,0.0,Credit card refinancing,credit_card,Proposal Engineer,5 years,MORTGAGE,60000.0,Source Verified,0.0,0.0,2006-08-01,0.0,,,7.0,0.0,12916,37.7,0.0,119104.0,16.0,34300.0,6.2,A,A1
Current,5,18000,2018-10-01, 36 months,8.46,567.89,2216.57,1782.7,433.87,0.0,Credit card refinancing,credit_card,Attorney,2 years,RENT,85000.0,Source Verified,0.0,0.0,2000-03-01,0.0,,,21.0,0.0,28591,49.4,0.0,417684.0,31.0,57900.0,23.56,A,A5
Current,5,8050,2018-03-01, 36 months,9.43,257.61,2829.49,2223.87,605.62,0.0,Home buying,house,Senior Claims Adjuster,10+ years,MORTGAGE,74000.0,Source Verified,0.0,0.0,2003-01-01,0.0,25.0,116.0,5.0,1.0,5260,57.2,0.0,183116.0,22.0,9200.0,11.39,B,B1
Current,5,16000,2018-09-01, 60 months,6.11,310.15,1545.32,1155.12,390.2,0.0,Debt consolidation,debt_consolidation,Solutions Engineer,2 years,MORTGAGE,105000.0,Source Verified,0.0,1.0,2007-10-01,0.0,3.0,,16.0,0.0,14702,16.7,0.0,208217.0,24.0,88000.0,16.4,A,A1
Current,5,26000,2018-08-01, 36 months,7.21,805.31,4821.45,3953.53,867.92,0.0,Debt consolidation,debt_consolidation,Foreman,2 years,MORTGAGE,60000.0,Verified,0.0,0.0,1992-08-01,0.0,,,9.0,0.0,16395,43.0,0.0,24004.0,15.0,38100.0,9.98,A,A3
Current,5,18000,2018-01-01, 36 months,16.02,633.01,8213.11,5534.86,2678.25,0.0,Debt consolidation,debt_consolidation,Director of Creative Technology,3 years,OWN,175000.0,Verified,0.0,0.0,2007-01-01,0.0,47.0,,9.0,0.0,19486,51.6,0.0,643377.0,15.0,37800.0,6.5,C,C5
Current,5,15000,2018-01-01, 36 months,16.02,527.51,6917.44,4698.8,2218.64,0.0,Debt consolidation,debt_consolidation,Manager of Tire Sales ,2 years,RENT,65000.0,Source Verified,0.0,0.0,2012-08-01,2.0,,,10.0,0.0,1920,91.4,0.0,74594.0,11.0,2100.0,10.03,C,C5
Current,5,4800,2018-10-01, 36 months,7.84,150.07,596.1,479.51,116.59,0.0,Major purchase,major_purchase,Registered Nurse,8 years,RENT,80000.0,Not Verified,0.0,0.0,2004-12-01,1.0,,,16.0,0.0,11213,24.1,0.0,59384.0,21.0,46600.0,29.88,A,A4
Current,5,35000,2018-11-01, 60 months,7.21,696.52,2054.51,1467.47,587.04,0.0,Debt consolidation,debt_consolidation,,,MORTGAGE,100000.0,Verified,0.0,0.0,1972-12-01,1.0,,,8.0,0.0,26402,54.0,0.0,216233.0,23.0,48900.0,16.87,A,A3
Fully Paid,6,16000,2017-03-01, 36 months,5.32,481.84,16026.006666666,16000.0,26.01,0.0,Debt consolidation,debt_consolidation,packaging lead,10+ years,MORTGAGE,75000.0,Verified,0.0,0.0,1995-05-01,0.0,68.0,,10.0,0.0,22992,49.2,0.0,114362.0,22.0,46700.0,12.72,A,A1
Current,5,12000,2017-06-01, 36 months,21.45,454.88,9069.0,5718.6,3350.4,0.0,Debt consolidation,debt_consolidation,,,MORTGAGE,48000.0,Not Verified,0.0,0.0,2003-06-01,0.0,33.0,110.0,12.0,1.0,13131,36.7,0.0,24250.0,16.0,35800.0,34.8,D,D5
Current,5,10000,2016-06-01, 36 months,7.39,310.56,9929.71,8776.76,1152.95,0.0,Home improvement,home_improvement,Tv Production,6 years,MORTGAGE,145000.0,Not Verified,0.0,0.0,1987-11-01,1.0,,76.0,9.0,1.0,1979,7.9,480.0,605866.0,39.0,25200.0,3.93,A,A4
Current,5,12000,2018-07-01, 60 months,13.56,276.49,1917.35,1020.3,897.05,0.0,Debt consolidation,debt_consolidation,Claim Professional,1 year,MORTGAGE,61200.0,Source Verified,0.0,0.0,2007-02-01,0.0,55.0,91.0,31.0,1.0,18288,56.1,0.0,203081.0,38.0,32600.0,20.29,C,C1
Current,5,10000,2017-05-01, 60 months,14.99,237.85,4986.52,2692.67,2293.85,0.0,Home improvement,home_improvement,Land surveyor technician,6 years,MORTGAGE,60000.0,Source Verified,0.0,0.0,2003-12-01,0.0,,,6.0,0.0,4052,88.1,0.0,275815.0,9.0,4600.0,6.96,C,C4
Current,5,10000,2016-06-01, 36 months,7.39,310.56,9933.81,8775.96,1157.85,0.0,Car financing,car,Owner,6 years,MORTGAGE,285000.0,Source Verified,0.0,0.0,2000-12-01,0.0,51.0,,16.0,0.0,55437,44.1,0.0,513415.0,26.0,115900.0,13.87,A,A4
Current,5,32000,2018-03-01, 60 months,10.9,694.17,25616.49,22917.45,2699.04,0.0,Major purchase,major_purchase,Technician,1 year,OWN,83000.0,Source Verified,0.0,0.0,2003-03-01,0.0,24.0,,7.0,0.0,9,0.0,0.0,124318.0,19.0,36800.0,0.13,B,B4
Current,5,7500,2017-06-01, 36 months,7.21,232.3,4639.99,3966.4,673.59,0.0,Credit card refinancing,credit_card,Estimator,9 years,OWN,50000.0,Source Verified,0.0,0.0,2007-02-01,1.0,,,11.0,0.0,20393,31.0,0.0,36831.0,25.0,65700.0,21.48,A,A3
Current,5,13200,2016-12-01, 60 months,11.39,289.58,7520.73,4819.01,2701.72,0.0,Debt consolidation,debt_consolidation,QC Electrical Inspector Level III,5 years,MORTGAGE,85000.0,Not Verified,0.0,0.0,2001-03-01,0.0,47.0,52.0,8.0,1.0,7358,33.0,0.0,122838.0,26.0,22300.0,8.46,B,B3
Fully Paid,6,4325,2016-04-01, 36 months,7.89,135.32,4450.35,4325.0,125.35,0.0,Debt consolidation,debt_consolidation,,,RENT,20000.0,Verified,0.0,0.0,1977-07-01,3.0,,,30.0,0.0,8680,10.8,0.0,21675.0,45.0,80700.0,23.23,A,A5
Current,5,21000,2018-03-01, 60 months,19.42,549.62,6000.51,2503.55,3496.96,0.0,Credit card refinancing,credit_card,Sr. Pre Close Specialist,3 years,OWN,49867.0,Source Verified,0.0,0.0,1999-11-01,1.0,27.0,,8.0,0.0,13893,61.5,1029.0,94441.0,11.0,22600.0,14.2,D,D3
Fully Paid,6,15000,2017-03-01, 36 months,26.24,606.28,18824.2339450294,15000.0,3824.23,0.0,Credit card refinancing,credit_card,Assistant Manager,1 year,OWN,39500.0,Source Verified,0.0,0.0,1986-08-01,0.0,,,14.0,0.0,15132,29.0,0.0,33522.0,20.0,52100.0,34.4,E,E5
Current,5,6000,2018-04-01, 36 months,15.04,208.11,2085.78,1406.38,679.4,0.0,Credit card refinancing,credit_card,Technician,7 years,RENT,58240.0,Not Verified,0.0,0.0,2013-04-01,0.0,,105.0,6.0,1.0,1817,45.4,322.0,25975.0,9.0,4000.0,10.88,C,C4
Fully Paid,6,10000,2017-10-01, 36 months,16.02,351.67,11724.29267382,10000.0,1724.29,0.0,Credit card refinancing,credit_card,,,RENT,25000.0,Not Verified,0.0,0.0,1993-09-01,0.0,69.0,,7.0,0.0,2510,21.6,0.0,15171.0,12.0,11600.0,34.42,C,C5
Current,5,7000,2018-10-01, 36 months,7.84,218.84,878.41,699.24,179.17,0.0,Debt consolidation,debt_consolidation,Scientist,< 1 year,RENT,150000.0,Verified,0.0,1.0,2003-08-01,0.0,3.0,,18.0,0.0,7084,29.2,293.0,244797.0,38.0,24300.0,3.33,A,A4
Current,5,25000,2018-05-01, 36 months,5.31,752.76,6760.09,5882.57,877.52,0.0,Debt consolidation,debt_consolidation,,,MORTGAGE,110000.0,Not Verified,0.0,0.0,1990-11-01,0.0,,,15.0,0.0,24673,17.8,1694.0,405831.0,39.0,138500.0,14.9,A,A1
Current,5,25000,2018-09-01, 36 months,11.06,819.18,4080.54,2998.58,1081.96,0.0,Debt consolidation,debt_consolidation,Sr. Consultant,8 years,RENT,125000.0,Verified,0.0,0.0,2008-04-01,1.0,,,12.0,0.0,84571,59.0,0.0,126241.0,22.0,142800.0,21.79,B,B3
Current,5,14075,2016-11-01, 36 months,15.99,494.77,13357.3,9903.28,3454.02,0.0,Credit card refinancing,credit_card,Accounting Clerk,< 1 year,RENT,32000.0,Source Verified,0.0,0.0,2010-07-01,0.0,24.0,,11.0,0.0,18790,72.0,0.0,49950.0,12.0,26100.0,23.37,C,C5
Current,5,17100,2016-05-01, 36 months,16.29,603.64,19976.9,15337.31,4639.59,0.0,Debt consolidation,debt_consolidation,Admin. Assistant and Loan Associate,10+ years,MORTGAGE,38000.0,Source Verified,0.0,0.0,1996-12-01,1.0,54.0,,11.0,0.0,16927,43.0,0.0,30092.0,19.0,39550.0,26.82,D,D1
Charged Off,0,10000,2016-05-01, 36 months,13.67,340.18,2295.25,920.64,432.49,0.0,Debt consolidation,debt_consolidation,OFAC OFFICER,1 year,MORTGAGE,92000.0,Source Verified,0.0,0.0,2001-01-01,1.0,77.0,4.0,15.0,1.0,15669,42.8,0.0,285092.0,26.0,36600.0,22.95,C,C3
Current,5,10000,2017-03-01, 36 months,16.99,356.48,8180.16,5794.39,2385.77,0.0,Credit card refinancing,credit_card,,,RENT,29000.0,Not Verified,0.0,0.0,2009-05-01,0.0,,,12.0,0.0,6765,39.8,0.0,21308.0,14.0,17000.0,30.67,D,D1
Fully Paid,6,2600,2017-06-01, 36 months,9.44,83.22,2836.3344420952003,2600.0,236.33,0.0,Debt consolidation,debt_consolidation,Welder /Fitter,4 years,MORTGAGE,29000.0,Not Verified,0.0,0.0,1994-03-01,2.0,65.0,,12.0,0.0,1721,10.8,0.0,54898.0,22.0,16000.0,26.45,B,B1
Fully Paid,6,8000,2016-06-01, 36 months,11.49,263.78,8138.7099999990005,8000.0,138.71,0.0,Debt consolidation,debt_consolidation,Physical Therapist Assistant,3 years,RENT,65000.0,Verified,0.0,0.0,1993-04-01,1.0,,90.0,11.0,1.0,5089,33.7,0.0,39163.0,20.0,15100.0,21.25,B,B5
Fully Paid,6,8400,2016-06-01, 36 months,10.75,274.02,9659.541909903299,8400.0,1259.54,0.0,Debt consolidation,debt_consolidation,Receptionist,4 years,OWN,35000.0,Source Verified,0.0,0.0,2003-03-01,0.0,37.0,,7.0,0.0,6406,43.0,0.0,23971.0,19.0,14900.0,30.01,B,B4
Current,5,27000,2016-10-01, 36 months,14.49,929.24,26007.85,19946.54,6061.31,0.0,Debt consolidation,debt_consolidation,Director,6 years,RENT,84000.0,Source Verified,0.0,0.0,1982-09-01,0.0,,,9.0,0.0,13611,89.5,0.0,72513.0,9.0,15200.0,28.73,C,C4
Current,5,13000,2017-03-01, 60 months,15.99,316.07,7246.51,3815.07,3431.44,0.0,Credit card refinancing,credit_card,Digital marketing manager ,2 years,RENT,65000.0,Not Verified,0.0,0.0,2011-04-01,1.0,,,17.0,0.0,16703,47.6,0.0,115599.0,26.0,35200.0,28.93,C,C5
Current,5,16500,2018-11-01, 36 months,8.81,523.24,1573.76,1215.19,358.57,0.0,Debt consolidation,debt_consolidation,,,MORTGAGE,64788.0,Not Verified,0.0,0.0,2006-02-01,0.0,,,12.0,0.0,9726,21.1,0.0,319962.0,22.0,46100.0,24.63,A,A5
Fully Paid,6,10000,2018-01-01, 36 months,7.97,313.23,10030.9900000002,10000.0,30.99,0.0,Debt consolidation,debt_consolidation,Consultant,10+ years,MORTGAGE,50000.0,Not Verified,0.0,0.0,1998-09-01,0.0,45.0,,7.0,0.0,851,4.5,0.0,113737.0,22.0,18900.0,16.92,A,A5
Fully Paid,6,5000,2016-07-01, 36 months,11.49,164.86,5420.105345885499,5000.0,420.11,0.0,Credit card refinancing,credit_card,Customer Service Representative,< 1 year,RENT,37440.0,Verified,0.0,0.0,2009-03-01,0.0,,,8.0,0.0,12980,55.7,0.0,25118.0,19.0,23300.0,25.29,B,B5
Fully Paid,6,16000,2017-05-01, 36 months,18.99,586.42,16434.6614348038,16000.0,434.66,0.0,Debt consolidation,debt_consolidation,HR Generalist,3 years,MORTGAGE,76500.0,Source Verified,0.0,0.0,2000-11-01,0.0,36.0,,10.0,0.0,16502,34.9,425.0,16503.0,20.0,47300.0,13.65,D,D3
Current,5,13000,2018-12-01, 36 months,8.81,412.25,818.14,635.94,182.2,0.0,Credit card refinancing,credit_card,Business Services Officer,5 years,MORTGAGE,60000.0,Not Verified,0.0,0.0,1995-10-01,0.0,,,10.0,0.0,14760,40.1,0.0,125766.0,24.0,36800.0,13.76,A,A5
Current,5,6100,2016-04-01, 36 months,13.67,207.51,7071.55,5692.08,1379.47,0.0,Credit card refinancing,credit_card,Server,5 years,RENT,18000.0,Not Verified,0.0,0.0,2013-01-01,1.0,,,6.0,0.0,5700,52.3,0.0,5700.0,6.0,10900.0,13.27,C,C3
Current,5,10500,2018-06-01, 60 months,10.07,223.46,1781.81,1115.12,666.69,0.0,Other,other,Dispatcher,10+ years,RENT,24216.0,Not Verified,0.0,0.0,1998-10-01,0.0,62.0,,7.0,0.0,9601,33.6,0.0,9601.0,10.0,28600.0,12.54,B,B2
Current,5,2500,2018-10-01, 36 months,20.89,94.05,301.02,154.25,146.77,0.0,Other,other,Federal Screener,10+ years,RENT,55000.0,Not Verified,0.0,0.0,2006-09-01,1.0,56.0,29.0,9.0,1.0,10261,44.2,0.0,16666.0,28.0,23200.0,9.58,D,D4
Fully Paid,6,17500,2018-04-01, 60 months,10.9,379.63,17505.7799305554,17500.0,5.78,0.0,Home buying,house,Director of Inspection Services,6 years,MORTGAGE,87500.0,Verified,0.0,1.0,2005-05-01,0.0,17.0,,7.0,0.0,6131,24.0,0.0,247102.0,18.0,25500.0,13.95,B,B4
Fully Paid,6,14400,2017-08-01, 60 months,15.05,342.96,16277.552511573998,14400.0,1877.55,0.0,Credit card refinancing,credit_card,Healthcare Administration,10+ years,MORTGAGE,100000.0,Source Verified,0.0,0.0,2003-07-01,0.0,35.0,76.0,18.0,1.0,15450,35.0,0.0,234513.0,22.0,44200.0,10.09,C,C4
Current,5,4500,2016-05-01, 36 months,7.39,139.76,4608.38,4086.17,522.21,0.0,Credit card refinancing,credit_card,Government Operations Consultant II,5 years,RENT,40000.0,Source Verified,0.0,0.0,2004-02-01,0.0,59.0,,6.0,0.0,3082,12.3,0.0,18722.0,19.0,25000.0,10.11,A,A4
Current,5,25000,2017-01-01, 36 months,11.44,823.69,20576.36,16437.08,4139.28,0.0,Debt consolidation,debt_consolidation,Police Sergeant,10+ years,OWN,75000.0,Verified,0.0,3.0,1995-12-01,0.0,56.0,,17.0,0.0,30509,55.0,1978.0,239551.0,33.0,55390.0,25.76,B,B4
Charged Off,0,1000,2017-08-01, 36 months,10.91,32.7,374.09,271.59,87.5,15.0,Debt consolidation,debt_consolidation,Compliance,1 year,RENT,40000.0,Source Verified,0.0,0.0,2001-06-01,1.0,35.0,,3.0,0.0,2132,85.3,0.0,20906.0,9.0,2500.0,15.27,B,B4
Current,5,2100,2018-09-01, 36 months,12.73,70.49,350.96,246.23,104.73,0.0,Other,other,Teacher,10+ years,MORTGAGE,70000.0,Not Verified,0.0,0.0,1993-11-01,1.0,43.0,,15.0,0.0,15350,79.9,0.0,98405.0,29.0,19200.0,35.63,B,B5
Current,5,11400,2018-03-01, 36 months,10.9,372.69,4092.69,3098.73,993.96,0.0,Debt consolidation,debt_consolidation,Owner,< 1 year,RENT,35000.0,Verified,0.0,0.0,2005-07-01,1.0,,,4.0,0.0,10913,56.8,0.0,10913.0,6.0,19200.0,8.85,B,B4
Fully Paid,6,10000,2018-02-01, 60 months,6.08,193.71,10529.368559332801,10000.0,529.37,0.0,Credit card refinancing,credit_card,Certified Pharmacy Technician,2 years,RENT,38000.0,Not Verified,0.0,0.0,2004-05-01,0.0,,,5.0,0.0,12911,56.1,154.0,17716.0,10.0,23000.0,19.08,A,A2
Fully Paid,6,5000,2017-02-01, 36 months,8.24,157.24,5541.462896431999,5000.0,541.46,0.0,Debt consolidation,debt_consolidation,Post close reconciliation ,1 year,RENT,52500.0,Verified,0.0,0.0,2001-03-01,0.0,75.0,,5.0,0.0,11754,63.2,0.0,11754.0,22.0,18600.0,9.85,B,B1
Current,5,30000,2018-01-01, 60 months,10.42,643.63,8349.82,5248.63,3101.19,0.0,Debt consolidation,debt_consolidation,,,MORTGAGE,35000.0,Verified,0.0,0.0,1995-08-01,1.0,,,15.0,0.0,41744,53.7,0.0,288934.0,25.0,77800.0,60.19,B,B3
Current,5,30000,2018-10-01, 60 months,10.08,638.6,2487.2,1565.99,921.21,0.0,Debt consolidation,debt_consolidation,Office Manager/Bookkeeping,10+ years,MORTGAGE,62000.0,Source Verified,0.0,0.0,1991-10-01,0.0,,,14.0,0.0,7328,36.8,0.0,226532.0,32.0,19900.0,16.34,B,B1
Charged Off,0,5000,2016-02-01, 36 months,13.67,170.09,3740.8,2525.07,869.14,0.0,Major purchase,major_purchase,custodian,10+ years,RENT,40000.0,Verified,0.0,0.0,2002-10-01,2.0,,,13.0,0.0,34208,47.9,100.0,44264.0,26.0,71400.0,30.93,C,C3
Charged Off,0,24000,2016-03-01, 60 months,21.97,662.45,30626.65,2683.13,4672.01,0.0,Debt consolidation,debt_consolidation,Civil servant,10+ years,RENT,110000.0,Verified,0.0,1.0,1999-06-01,2.0,4.0,,6.0,0.0,5684,32.9,0.0,40551.0,24.0,17300.0,12.82,E,E4
Current,5,13000,2017-05-01, 36 months,10.49,422.48,8864.5,7085.22,1779.28,0.0,Debt consolidation,debt_consolidation,Teacher,7 years,OWN,63581.0,Source Verified,0.0,0.0,2007-04-01,0.0,,,20.0,0.0,9882,35.5,459.0,392094.0,36.0,27800.0,23.84,B,B2
Fully Paid,6,14000,2017-03-01, 36 months,16.99,499.07,16878.735807940302,14000.0,2878.74,0.0,Debt consolidation,debt_consolidation,General Manager,10+ years,MORTGAGE,110000.0,Not Verified,0.0,0.0,2003-12-01,1.0,,,8.0,0.0,105727,94.1,0.0,692185.0,14.0,108300.0,23.01,D,D1
Current,5,16000,2018-10-01, 36 months,18.94,586.02,7310.41,6365.86,944.55,0.0,Home improvement,home_improvement,Strategic Account Manager,4 years,MORTGAGE,160000.0,Source Verified,0.0,2.0,2005-03-01,0.0,9.0,,11.0,0.0,14766,59.5,181.0,344000.0,23.0,24800.0,4.88,D,D2
Fully Paid,6,7200,2016-04-01, 36 months,12.99,242.57,8438.413270384599,7200.0,1238.41,0.0,Debt consolidation,debt_consolidation,,,MORTGAGE,32400.0,Verified,0.0,0.0,2000-08-01,3.0,,71.0,12.0,1.0,10558,58.0,0.0,22309.0,35.0,18200.0,28.56,C,C2
Current,5,11000,2017-05-01, 60 months,14.08,256.41,5376.01,3012.58,2363.43,0.0,Debt consolidation,debt_consolidation,RN,1 year,RENT,56000.0,Source Verified,0.0,9.0,2005-07-01,1.0,7.0,96.0,16.0,1.0,11664,64.1,0.0,91064.0,38.0,18200.0,28.01,C,C3
Current,5,25000,2018-06-01, 36 months,5.31,752.76,6014.7,5217.35,797.35,0.0,Credit card refinancing,credit_card,"VP, Legal",4 years,RENT,179000.0,Not Verified,0.0,0.0,1988-08-01,0.0,49.0,,14.0,0.0,26951,77.0,316.0,37260.0,31.0,35000.0,8.85,A,A1
Current,5,20000,2017-11-01, 36 months,21.45,758.14,11324.43,6823.05,4501.38,0.0,Debt consolidation,debt_consolidation,HR Manager,2 years,RENT,90472.0,Verified,0.0,0.0,2003-10-01,1.0,30.0,,7.0,0.0,4542,53.4,0.0,48101.0,11.0,8500.0,26.0,D,D5
Current,5,10000,2018-11-01, 36 months,8.46,315.5,941.8,740.19,201.61,0.0,Debt consolidation,debt_consolidation,product clerk,10+ years,MORTGAGE,26000.0,Source Verified,0.0,0.0,1994-06-01,0.0,,,4.0,0.0,1120,28.7,0.0,4923.0,8.0,3900.0,18.98,A,A5
Current,5,21000,2016-06-01, 36 months,9.75,675.15,21646.18,18353.43,3292.75,0.0,Debt consolidation,debt_consolidation,Behavioral Health Consultant,2 years,RENT,72100.0,Not Verified,0.0,0.0,2006-10-01,0.0,,,6.0,0.0,13043,45.4,0.0,17428.0,14.0,28700.0,12.43,B,B3
Fully Paid,6,35000,2016-11-01, 36 months,17.99,1265.16,35917.7347740927,35000.0,917.73,0.0,Debt consolidation,debt_consolidation,Senior Interior Designer,10+ years,MORTGAGE,72000.0,Source Verified,0.0,1.0,1979-06-01,1.0,19.0,,11.0,0.0,21727,66.9,0.0,442915.0,16.0,32500.0,11.77,D,D2
Current,5,6400,2017-09-01, 36 months,10.42,207.78,3528.56,2775.31,753.25,0.0,Medical expenses,medical,Processor,< 1 year,MORTGAGE,60000.0,Source Verified,0.0,0.0,2013-03-01,1.0,,,7.0,0.0,7226,40.8,0.0,244342.0,7.0,17700.0,10.76,B,B3
Current,5,15000,2018-11-01, 36 months,10.47,487.33,1453.27,1078.72,374.55,0.0,Home improvement,home_improvement,Sales,10+ years,OWN,90000.0,Source Verified,0.0,0.0,1996-07-01,1.0,,,15.0,0.0,23140,39.4,0.0,39103.0,23.0,58700.0,16.71,B,B2
Current,5,10000,2016-08-01, 36 months,9.49,320.29,9603.43,8129.76,1473.67,0.0,Debt consolidation,debt_consolidation,Nursing Assistant,9 years,MORTGAGE,45000.0,Verified,0.0,0.0,2002-03-01,1.0,,72.0,9.0,1.0,12261,76.0,0.0,217660.0,20.0,16150.0,15.76,B,B2
Fully Paid,6,4450,2017-07-01, 36 months,19.03,163.19,4874.5011446044,4450.0,424.5,0.0,Debt consolidation,debt_consolidation,,,RENT,16368.0,Verified,0.0,0.0,2004-01-01,1.0,,,7.0,0.0,11764,54.7,0.0,11764.0,12.0,21500.0,19.72,D,D3
Current,5,2500,2018-06-01, 36 months,7.46,77.72,620.72,508.39,112.33,0.0,Other,other,Office Manager,10+ years,OWN,100000.0,Not Verified,0.0,0.0,2004-02-01,0.0,,,10.0,0.0,7426,39.5,0.0,48692.0,15.0,18800.0,15.05,A,A4
Current,5,40000,2018-12-01, 60 months,14.47,940.51,1848.86,921.88,926.98,0.0,Debt consolidation,debt_consolidation,,< 1 year,MORTGAGE,150000.0,Not Verified,0.0,0.0,2004-03-01,1.0,,,9.0,0.0,8577,25.0,273.0,256829.0,12.0,34300.0,3.25,C,C2
Charged Off,0,2400,2016-03-01, 36 months,16.29,84.73,1758.82,674.7,337.72,0.0,Debt consolidation,debt_consolidation,Senior Designer,1 year,MORTGAGE,115000.0,Source Verified,0.0,0.0,2004-02-01,4.0,,,5.0,0.0,4546,101.0,0.0,412246.0,35.0,4500.0,9.03,D,D1
Current,5,18000,2016-03-01, 60 months,6.97,356.17,12452.01,9734.53,2717.48,0.0,Debt consolidation,debt_consolidation,Project Manager,10+ years,MORTGAGE,77000.0,Not Verified,0.0,0.0,2002-02-01,0.0,30.0,,10.0,0.0,12191,44.3,0.0,186336.0,18.0,27500.0,14.39,A,A3
Current,5,10000,2018-09-01, 36 months,6.11,304.72,1520.21,1282.01,238.2,0.0,Debt consolidation,debt_consolidation,Customer Supply Chain Integration,< 1 year,OWN,95000.0,Source Verified,0.0,1.0,1994-11-01,1.0,4.0,,9.0,0.0,12908,17.9,0.0,181260.0,12.0,72300.0,5.17,A,A1
